scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_flat.xml,0.5,0.0,0.0,trot,23,False,,0.2231,-0.1675,0.2769,0.1677,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,24,False,,0.2179,-0.1742,0.2821,0.1743,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,25,False,,0.2298,-0.1581,0.2702,0.1589,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,26,False,,0.2265,-0.1628,0.2735,0.1632,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,27,False,,0.2331,-0.1532,0.2669,0.1545,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,28,False,,0.2206,-0.1707,0.2794,0.1708,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,29,False,,0.2325,-0.1541,0.2675,0.1553,0.2785,0.006,8.3689
go2_flat.xml,0.75,0.0,0.0,trot,0,False,,0.3587,-0.1564,0.3913,0.1564,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,1,False,,0.3699,-0.1277,0.3801,0.1281,0.2803,0.0063,11.7382
go2_flat.xml,0.75,0.0,0.0,trot,2,False,,0.3697,-0.1284,0.3803,0.1287,0.2803,0.0063,11.7388
go2_flat.xml,0.75,0.0,0.0,trot,3,False,,0.3683,-0.1322,0.3817,0.1324,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,4,False,,0.3706,-0.1256,0.3794,0.1261,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,5,False,,0.373,-0.1183,0.377,0.1193,0.2803,0.0063,11.7386
go2_flat.xml,0.75,0.0,0.0,trot,6,False,,0.3726,-0.1194,0.3774,0.1203,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,7,False,,0.3678,-0.1337,0.3822,0.1339,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,8,False,,0.3623,-0.1479,0.3877,0.1479,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,9,False,,0.3704,-0.1261,0.3796,0.1266,0.2803,0.0063,11.7383
go2_flat.xml,0.75,0.0,0.0,trot,10,False,,0.37,-0.1275,0.38,0.1279,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,11,False,,0.3643,-0.143,0.3857,0.1431,0.2803,0.0063,11.7387
go2_flat.xml,0.75,0.0,0.0,trot,12,False,,0.3631,-0.1458,0.3869,0.1458,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,13,False,,0.3661,-0.1381,0.3839,0.1382,0.2803,0.0063,11.7383
go2_flat.xml,0.75,0.0,0.0,trot,14,False,,0.3694,-0.1289,0.3806,0.1293,0.2803,0.0063,11.7382
go2_flat.xml,0.75,0.0,0.0,trot,15,False,,0.3716,-0.1226,0.3784,0.1233,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,16,False,,0.3685,-0.1317,0.3815,0.1319,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,17,False,,0.374,-0.1151,0.376,0.1165,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,18,False,,0.3717,-0.1223,0.3783,0.123,0.2803,0.0063,11.7383
go2_flat.xml,0.75,0.0,0.0,trot,19,False,,0.3674,-0.1346,0.3826,0.1348,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,20,False,,0.3618,-0.1491,0.3882,0.1492,0.2803,0.0063,11.7386
go2_flat.xml,0.75,0.0,0.0,trot,21,False,,0.3622,-0.1481,0.3878,0.1482,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,22,False,,0.3633,-0.1453,0.3867,0.1453,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,23,False,,0.3663,-0.1375,0.3837,0.1377,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,24,False,,0.358,-0.1579,0.392,0.1579,0.2803,0.0063,11.7383
go2_flat.xml,0.75,0.0,0.0,trot,25,False,,0.3696,-0.1284,0.3804,0.1288,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,26,False,,0.3654,-0.1399,0.3846,0.1401,0.2803,0.0063,11.7382
go2_flat.xml,0.75,0.0,0.0,trot,27,False,,0.3717,-0.1224,0.3783,0.1231,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,28,False,,0.3609,-0.1513,0.3891,0.1513,0.2803,0.0063,11.7383
go2_flat.xml,0.75,0.0,0.0,trot,29,False,,0.3715,-0.1229,0.3785,0.1236,0.2803,0.0063,11.7384
go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.5032,-0.0377,0.4968,0.0377,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.5046,-0.0003,0.4954,0.0128,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.5046,-0.0043,0.4954,0.0128,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.5045,-0.0078,0.4955,0.0134,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.5046,0.0053,0.4954,0.0138,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.5045,0.0104,0.4955,0.0156,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.5045,0.0109,0.4955,0.0158,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.5045,-0.0083,0.4955,0.0135,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.5037,-0.0303,0.4963,0.0303,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.5046,0.0035,0.4954,0.0134,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.5046,0.003,0.4954,0.0133,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.5041,-0.0225,0.4959,0.0227,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.504,-0.0239,0.496,0.024,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.5045,-0.0114,0.4955,0.0147,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.5046,-0.0017,0.4954,0.0127,0.2862,0.0065,15.1368
go2_flat.xml,1.0,0.0,0.0,trot,15,False,,0.5045,0.0075,0.4955,0.0145,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,16,False,,0.5045,-0.0081,0.4955,0.0135,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,17,False,,0.5042,0.0189,0.4958,0.0205,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,18,False,,0.5046,0.0066,0.4954,0.0143,0.2862,0.0065,15.1368
go2_flat.xml,1.0,0.0,0.0,trot,19,False,,0.5045,-0.0103,0.4955,0.0142,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,20,False,,0.5036,-0.0319,0.4964,0.0319,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,21,False,,0.5038,-0.0285,0.4962,0.0285,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,22,False,,0.5039,-0.027,0.4961,0.027,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,23,False,,0.5045,-0.0117,0.4955,0.0148,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,24,False,,0.5029,-0.0414,0.4971,0.0414,0.2862,0.0065,15.1368
go2_flat.xml,1.0,0.0,0.0,trot,25,False,,0.5046,-0.0043,0.4954,0.0128,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,26,False,,0.5043,-0.0177,0.4957,0.0185,0.2862,0.0065,15.1368
go2_flat.xml,1.0,0.0,0.0,trot,27,False,,0.5046,0.0053,0.4954,0.0139,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,28,False,,0.5037,-0.0293,0.4963,0.0294,0.2862,0.0065,15.1368
go2_flat.xml,1.0,0.0,0.0,trot,29,False,,0.5046,0.0048,0.4954,0.0137,0.2862,0.0065,15.1367
go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.5737,0.3204,0.9263,0.322,0.2974,0.0062,19.7117
go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.5524,0.3559,0.9476,0.3559,0.2974,0.0062,19.7121
go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.5573,0.348,0.9427,0.3481,0.2974,0.0062,19.7114
go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.5609,0.3423,0.9391,0.3426,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.5442,0.3683,0.9558,0.3683,0.2974,0.0062,19.7115
go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.5421,0.3713,0.9579,0.3713,0.2974,0.0062,19.7115
go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.5458,0.3659,0.9542,0.3659,0.2974,0.0062,19.712
go2_flat.xml,1.5,0.0,0.0,trot,7,False,,0.5584,0.3464,0.9416,0.3465,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,8,False,,0.5764,0.3154,0.9236,0.3176,0.2974,0.0062,19.712
go2_flat.xml,1.5,0.0,0.0,trot,9,False,,0.5482,0.3623,0.9518,0.3623,0.2974,0.0062,19.7121
go2_flat.xml,1.5,0.0,0.0,trot,10,False,,0.5457,0.3661,0.9543,0.3661,0.2974,0.0062,19.7115
go2_flat.xml,1.5,0.0,0.0,trot,11,False,,0.5704,0.3262,0.9296,0.3274,0.2974,0.0062,19.7114
go2_flat.xml,1.5,0.0,0.0,trot,12,False,,0.57,0.3269,0.93,0.328,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,13,False,,0.5589,0.3456,0.9411,0.3457,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,14,False,,0.5518,0.3568,0.9482,0.3568,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,15,False,,0.5447,0.3676,0.9553,0.3676,0.2974,0.0062,19.7115
go2_flat.xml,1.5,0.0,0.0,trot,16,False,,0.5565,0.3493,0.9435,0.3494,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,17,False,,0.5376,0.3778,0.9624,0.3778,0.2974,0.0062,19.7119
go2_flat.xml,1.5,0.0,0.0,trot,18,False,,0.5454,0.3666,0.9546,0.3666,0.2974,0.0062,19.7121
go2_flat.xml,1.5,0.0,0.0,trot,19,False,,0.557,0.3485,0.943,0.3486,0.2974,0.0062,19.7115
go2_flat.xml,1.5,0.0,0.0,trot,20,False,,0.574,0.3199,0.926,0.3216,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,21,False,,0.5686,0.3293,0.9314,0.3303,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,22,False,,0.5716,0.3241,0.9284,0.3254,0.2974,0.0062,19.7117
go2_flat.xml,1.5,0.0,0.0,trot,23,False,,0.5616,0.3412,0.9384,0.3415,0.2974,0.0062,19.712
go2_flat.xml,1.5,0.0,0.0,trot,24,False,,0.577,0.3144,0.923,0.3167,0.2974,0.0062,19.7121
go2_flat.xml,1.5,0.0,0.0,trot,25,False,,0.555,0.3518,0.945,0.3519,0.2974,0.0062,19.7117
