foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,11,False,,0.0721,-0.0411,0.0721,0.044,0.2806,0.0065,2.4908
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,12,False,,0.0707,-0.0435,0.0707,0.0457,0.2806,0.0065,2.4906
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,13,False,,0.0711,-0.0429,0.0711,0.0453,0.2806,0.0065,2.4907
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,14,False,,0.0736,-0.0383,0.0736,0.0421,0.2806,0.0065,2.4905
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,0,False,,0.1386,-0.1181,0.1114,0.1182,0.2798,0.0064,5.4633
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,1,False,,0.1476,-0.1067,0.1024,0.1077,0.2798,0.0064,5.4626
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,2,False,,0.1465,-0.1083,0.1035,0.109,0.2798,0.0064,5.4637
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,3,False,,0.1458,-0.1091,0.1042,0.1099,0.2798,0.0064,5.4632
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,4,False,,0.1473,-0.107,0.1027,0.108,0.2798,0.0064,5.4631
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,5,False,,0.1498,-0.1036,0.1002,0.105,0.2798,0.0064,5.4636
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,6,False,,0.1474,-0.1069,0.1026,0.1078,0.2798,0.0064,5.4626
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,7,False,,0.1428,-0.113,0.1072,0.1134,0.2798,0.0064,5.4628
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,8,False,,0.1395,-0.1171,0.1105,0.1173,0.2798,0.0064,5.4628
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,9,False,,0.1465,-0.1081,0.1035,0.1089,0.2798,0.0064,5.4623
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,10,False,,0.1471,-0.1073,0.1029,0.1082,0.2798,0.0064,5.4633
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,11,False,,0.1427,-0.1131,0.1073,0.1135,0.2798,0.0064,5.4639
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,12,False,,0.1393,-0.1173,0.1107,0.1175,0.2798,0.0064,5.463
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,13,False,,0.1409,-0.1154,0.1091,0.1156,0.2798,0.0064,5.4628
0.8,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,14,False,,0.1469,-0.1076,0.1031,0.1085,0.2798,0.0064,5.4628
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2181,-0.1739,0.2819,0.174,0.2785,0.006,8.3688
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2311,-0.1562,0.2689,0.1572,0.2785,0.006,8.3683
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2287,-0.1598,0.2713,0.1604,0.2785,0.006,8.369
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2278,-0.1611,0.2722,0.1616,0.2785,0.006,8.3687
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2312,-0.1561,0.2688,0.157,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.2333,-0.153,0.2667,0.1543,0.2785,0.006,8.369
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.2314,-0.1558,0.2686,0.1568,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.2253,-0.1645,0.2747,0.1648,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.2191,-0.1726,0.2809,0.1727,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.23,-0.1579,0.27,0.1587,0.2784,0.006,8.3682
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2311,-0.1563,0.2689,0.1572,0.2785,0.006,8.3688
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.223,-0.1676,0.277,0.1678,0.2785,0.006,8.369
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.2192,-0.1725,0.2808,0.1726,0.2785,0.006,8.3687
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.2229,-0.1677,0.2771,0.1679,0.2785,0.006,8.3684
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.2311,-0.1563,0.2689,0.1572,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,0,False,,0.3587,-0.1564,0.3913,0.1564,0.2803,0.0063,11.7384
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,1,False,,0.3699,-0.1277,0.3801,0.1281,0.2803,0.0063,11.7382
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,2,False,,0.3697,-0.1284,0.3803,0.1287,0.2803,0.0063,11.7388
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,3,False,,0.3683,-0.1322,0.3817,0.1324,0.2803,0.0063,11.7385
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,4,False,,0.3706,-0.1256,0.3794,0.1261,0.2803,0.0063,11.7384
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,5,False,,0.373,-0.1183,0.377,0.1193,0.2803,0.0063,11.7386
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,6,False,,0.3726,-0.1194,0.3774,0.1203,0.2803,0.0063,11.7384
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,7,False,,0.3678,-0.1337,0.3822,0.1339,0.2803,0.0063,11.7385
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,8,False,,0.3623,-0.1479,0.3877,0.1479,0.2803,0.0063,11.7384
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,9,False,,0.3704,-0.1261,0.3796,0.1266,0.2803,0.0063,11.7383
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,10,False,,0.37,-0.1275,0.38,0.1279,0.2803,0.0063,11.7385
