foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,9,False,,0.3145,0.5067,1.1855,0.5067,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,10,False,,0.3136,0.5072,1.1864,0.5072,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,11,False,,0.3517,0.4816,1.1483,0.4817,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,12,False,,0.346,0.4857,1.154,0.4857,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,13,False,,0.3305,0.4964,1.1695,0.4964,0.2964,0.006,17.8886
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,14,False,,0.3213,0.5024,1.1787,0.5024,0.2964,0.006,17.8888
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2467,-0.1598,0.2533,0.1599,0.2788,0.0058,8.8185
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2579,-0.1411,0.2421,0.1425,0.2788,0.0058,8.818
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2558,-0.1448,0.2442,0.1458,0.2788,0.0058,8.8185
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2547,-0.1467,0.2453,0.1475,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2578,-0.1412,0.2422,0.1426,0.2788,0.0058,8.8181
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.2597,-0.1377,0.2403,0.1395,0.2788,0.0058,8.8185
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.2595,-0.1381,0.2405,0.1399,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.2536,-0.1487,0.2464,0.1493,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.2479,-0.158,0.2521,0.1583,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.2578,-0.1412,0.2422,0.1426,0.2788,0.0058,8.8181
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2578,-0.1413,0.2422,0.1426,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.2502,-0.1543,0.2498,0.1547,0.2788,0.0058,8.8184
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.2483,-0.1574,0.2517,0.1576,0.2788,0.0058,8.8184
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.2517,-0.1518,0.2483,0.1522,0.2788,0.0058,8.8183
0.6,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.258,-0.1409,0.242,0.1424,0.2788,0.0058,8.8182
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.5038,0.0798,0.4962,0.085,0.2863,0.0063,15.3003
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.4963,0.1175,0.5037,0.1177,0.2863,0.0063,15.3003
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.4971,0.1143,0.5029,0.1146,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.4979,0.1105,0.5021,0.111,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.4951,0.1225,0.5049,0.1226,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.4938,0.1278,0.5062,0.1279,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.4932,0.1299,0.5068,0.1299,0.2863,0.0063,15.3001
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.498,0.1103,0.502,0.1108,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.5024,0.088,0.4976,0.0913,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.4955,0.1207,0.5045,0.1209,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.4961,0.1184,0.5039,0.1186,0.2863,0.0063,15.3003
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.5011,0.0953,0.4989,0.0973,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.5012,0.0944,0.4988,0.0965,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.4988,0.1064,0.5012,0.1072,0.2863,0.0063,15.3002
0.6,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.4972,0.1139,0.5028,0.1142,0.2863,0.0063,15.3003
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.4232,0.4561,1.0768,0.4562,0.2972,0.006,18.6644
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.3942,0.4814,1.1058,0.4814,0.2972,0.006,18.6645
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.4019,0.475,1.0981,0.475,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.4048,0.4725,1.0952,0.4725,0.2972,0.006,18.6644
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.3851,0.4887,1.1149,0.4887,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.3816,0.4914,1.1184,0.4914,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.3794,0.4931,1.1206,0.4931,0.2972,0.006,18.6641
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,7,False,,0.4014,0.4754,1.0986,0.4754,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,8,False,,0.4232,0.4561,1.0768,0.4562,0.2972,0.006,18.6642
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,9,False,,0.386,0.488,1.114,0.488,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,10,False,,0.3873,0.4869,1.1127,0.4869,0.2972,0.006,18.6644
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,11,False,,0.4204,0.4586,1.0796,0.4587,0.2972,0.006,18.6643
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,12,False,,0.4137,0.4647,1.0863,0.4647,0.2972,0.006,18.6641
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,13,False,,0.3998,0.4767,1.1002,0.4767,0.2972,0.006,18.6642
0.6,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,14,False,,0.3946,0.481,1.1054,0.481,0.2972,0.006,18.6645
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2181,-0.1739,0.2819,0.174,0.2785,0.006,8.3688
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2311,-0.1562,0.2689,0.1572,0.2785,0.006,8.3683
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2287,-0.1598,0.2713,0.1604,0.2785,0.006,8.369
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2278,-0.1611,0.2722,0.1616,0.2785,0.006,8.3687
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2312,-0.1561,0.2688,0.157,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.2333,-0.153,0.2667,0.1543,0.2785,0.006,8.369
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.2314,-0.1558,0.2686,0.1568,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.2253,-0.1645,0.2747,0.1648,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.2191,-0.1726,0.2809,0.1727,0.2785,0.006,8.3685
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.23,-0.1579,0.27,0.1587,0.2784,0.006,8.3682
0.8,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2311,-0.1563,0.2689,0.1572,0.2785,0.006,8.3688
